Entity,Code,Year,"Deaths - Tracheal, bronchus, and lung cancer - Sex: Both - Age: All Ages (Number)"
Turkmenistan,TKM,2019,399
Tuvalu,TUV,2019,3
Uganda,UGA,2019,1036
Ukraine,UKR,2019,17023
United Arab Emirates,ARE,2019,523
United Kingdom,GBR,2019,42837
United States,USA,2019,206196
United States Virgin Islands,VIR,2019,45
Uruguay,URY,2019,1754
Uzbekistan,UZB,2019,2656
Vanuatu,VUT,2019,43
Venezuela,VEN,2019,5659
Vietnam,VNM,2019,25161
Wales,,2019,2314
Western Pacific Region (WHO),,2019,936925
World,OWID_WRL,2019,2042640
World Bank High Income,,2019,688857
World Bank Low Income,,2019,34279
World Bank Lower Middle Income,,2019,289877
World Bank Upper Middle Income,,2019,1028676
Yemen,YEM,2019,1336
Zambia,ZMB,2019,717
Zimbabwe,ZWE,2019,1026
